pedido_id,pagamento_value,pagamento_forma,pagamento_parcelas,CustoFinanceiro,,,,,,,,,,,
26367,"1.900,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26365,"6.495,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
26366,"800,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26415,"8.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26415,"4.840,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26416,"2.296,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26416,"11.484,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
26410,"30.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26410,"15.177,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26419,"1.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26419,"2.600,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
26371,"1.500,00",Débito,1,"R$ 21,60",,,,,,,,,,,
26371,"4.670,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
26420,"7.260,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26375,"2.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26374,"5.960,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26373,"9.100,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26372,"13.500,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
26372,"1.500,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26376,"1.900,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26423,"10.000,00",Cheque,8,"R$ 0,00",,,,,,,,,,,
26421,"5.900,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26422,"7.800,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26381,"5.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26381,"2.200,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
26382,"3.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26380,"4.065,00",Crédito,5,"R$ 0,00",,,,,,,,,,,
26378,"1.000,00",Débito,1,"R$ 14,40",,,,,,,,,,,
26377,"1.450,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28212,"10.450,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28212,"10.450,00",Cheque,1,"R$ 0,00",,,,,,,,,,,
28164,"6.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28211,"2.100,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28206,"6.900,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
26435,"3.380,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28210,"2.790,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28210,"2.790,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
28163,"5.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28162,"2.800,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28165,"5.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28209,"9.900,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26389,"4.500,00",Crédito,7,"R$ 0,00",,,,,,,,,,,
28159,"16.980,00",Crédito,7,"R$ 0,00",,,,,,,,,,,
28160,"5.700,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28161,"3.190,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
26388,"10.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26388,"23.000,00",Crédito,4,"R$ 0,00",,,,,,,,,,,
28169,"22.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28222,"17.923,00",Crédito,10,"R$ 0,00",,,,,,,,,,,
28222,"3.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28222,"10.350,00",Crédito,7,"R$ 0,00",,,,,,,,,,,
26399,"13.600,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28170,"1.200,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28170,"1.200,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
28220,"4.860,00",Crédito,6,"R$ 0,00",,,,,,,,,,,
28221,"4.000,00",Dinheiro,1,"R$ 0,00",,,,,,,,,,,
28221,"2.600,00",Crédito,3,"R$ 0,00",,,,,,,,,,,
28168,"3.092,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28168,"1.500,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26394,"1.480,00",Pix,1,"R$ 0,00",,,,,,,,,,,
26394,"2.960,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28215,"4.600,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28167,"4.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28214,"870,00",Crédito de pedido,1,"R$ 0,00",,,,,,,,,,,
28214,"230,00",Crédito,1,"R$ 0,00",,,,,,,,,,,
28213,"4.000,00",Pix,1,"R$ 0,00",,,,,,,,,,,
28213,"3.200,00",Entrega,1,"R$ 0,00",,,,,,,,,,,
28166,"2.690,00",Crédito,2,"R$ 0,00",,,,,,,,,,,
28155,"2.100,00",Pix,1,"R$ 0,00",,,,,,,,,,,
